campaign_family,ad_group_theme,seed_keyword,keyword_candidate,source,normalized_keyword,tier_status,intent_score,local_intent_score,commercial_intent_score,relevance_score,adjusted_relevance_score,source_trust_multiplier,negative_risk_score,landing_page_fit_score,source_validation_score,breadth_score,ambiguity_risk_score,recommended_match_type,status_recommendation,notes
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercanix mobile Mercedes-Benz specialists - 01344 851586,organic_title,mercanix mobile mercedes-benz specialists - 01344 851586,review_high_priority,32,25,36,35,24,0.7,0,42,0,100,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes and Smart Diagnostics,organic_title,mercedes and smart diagnostics,review_high_priority,23,0,36,60,42,0.7,0,56,0,52,44,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes approved service near me,related_searches,mercedes approved service near me,review_high_priority,32,25,36,55,55,1.0,0,14,0,92,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes Ashford,organic_title,mercedes ashford,review_high_priority,8,0,12,25,18,0.7,0,14,0,44,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes benz diagnostics near me,autocomplete,mercedes benz diagnostics near me,include_now,40,25,48,90,90,1.0,0,56,0,74,24,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic centre near me,autocomplete,mercedes diagnostic centre near me,review_high_priority,32,25,36,65,65,1.0,0,42,0,80,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes diagnostic check cost,related_searches,mercedes diagnostic check cost,review_high_priority,23,0,36,45,45,1.0,26,56,0,52,56,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic check near me,autocomplete,mercedes diagnostic check near me,include_now,40,25,48,75,75,1.0,0,56,0,74,36,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic cost near me,autocomplete,mercedes diagnostic cost near me,review_high_priority,32,25,36,65,65,1.0,26,42,0,80,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes diagnostic cost UK,related_searches,mercedes diagnostic cost uk,review_high_priority,16,0,24,35,35,1.0,26,42,0,64,56,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic service near me,autocomplete,mercedes diagnostic service near me,include_now,40,25,48,65,65,1.0,0,42,0,80,44,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostic test near me,autocomplete,mercedes diagnostic test near me,review_high_priority,32,25,36,65,65,1.0,0,42,0,80,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostics and repair centre,autocomplete,mercedes diagnostics and repair centre,exclude_negative,31,0,48,60,60,1.0,35,56,0,74,44,negative,exclude_negative,Matched risk phrase: 'repair centre'.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mercedes diagnostics in Kent,organic_title,mercedes diagnostics in kent,review_high_priority,32,25,36,60,42,0.7,0,56,0,52,44,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes diagnostics near me,seed,mercedes diagnostics near me,include_now,40,25,48,90,90,1.0,0,56,0,52,24,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes independent specialist near me,related_searches,mercedes independent specialist near me,review_high_priority,32,25,36,55,55,1.0,0,14,0,92,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes mobile diagnostics near me,autocomplete,mercedes mobile diagnostics near me,include_now,56,50,60,100,100,1.0,0,84,0,62,24,exact,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes specialist gravesend,related_searches,mercedes specialist gravesend,review_high_priority,24,25,24,25,25,1.0,0,14,0,66,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes specialist Kent,related_searches,mercedes specialist kent,review_high_priority,24,25,24,25,25,1.0,0,14,0,66,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes specialist Medway,related_searches,mercedes specialist medway,review_high_priority,16,0,24,25,25,1.0,0,14,0,66,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mercedes Sprinter specialist near me,related_searches,mercedes sprinter specialist near me,include_now,40,25,48,65,65,1.0,0,42,0,80,56,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,mercedes star diagnostics near me,autocomplete,mercedes star diagnostics near me,include_now,40,25,48,90,90,1.0,0,56,0,74,24,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,mobile engine diagnostics near me,autocomplete,mobile engine diagnostics near me,include_now,49,50,48,70,70,1.0,0,84,0,62,36,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Mobile Mechanic Maidstone Kent,organic_title,mobile mechanic maidstone kent,review_high_priority,42,75,24,10,7,0.7,0,14,0,76,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Mobile mechanic near me,related_searches,mobile mechanic near me,review_high_priority,41,50,36,40,40,1.0,0,14,0,76,80,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,mobile mercedes diagnostics,seed,mobile mercedes diagnostics,include_now,40,25,48,85,85,1.0,0,84,0,30,24,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile mercedes diagnostics cost,related_searches,mobile mercedes diagnostics cost,review_high_priority,40,25,48,85,85,1.0,26,84,0,40,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile mercedes diagnostics london,related_searches,mobile mercedes diagnostics london,include_now,49,50,48,85,85,1.0,0,84,0,40,24,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Mobile mercedes diagnostics near me,autocomplete;related_searches,mobile mercedes diagnostics near me,include_now,56,50,60,100,100,1.0,0,84,0,62,24,exact,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile mercedes diagnostics prices,related_searches,mobile mercedes diagnostics prices,review_high_priority,40,25,48,85,85,1.0,26,84,0,40,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Mercedes mechanic reviews,related_searches,mobile mercedes mechanic reviews,review_high_priority,32,25,36,50,50,1.0,36,42,0,64,68,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Mercedes Mechanic Reviews 116,organic_title,mobile mercedes mechanic reviews 116,review_high_priority,32,25,36,50,35,0.7,36,42,0,80,68,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,mobile mercedes star diagnostic,autocomplete,mobile mercedes star diagnostic,review_high_priority,32,25,36,60,60,1.0,0,56,0,52,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Technician,organic_title,mobile technician,review_high_priority,17,25,12,25,18,0.7,0,14,0,44,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,mobile van diagnostics near me,autocomplete;related_searches,mobile van diagnostics near me,include_now,56,50,60,100,100,1.0,0,84,0,62,24,exact,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Mobile Van Service | Mobile Workshop,organic_title,mobile van service mobile workshop,review_high_priority,32,25,36,35,24,0.7,0,42,0,80,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,mobile vehicle diagnostics near me,autocomplete,mobile vehicle diagnostics near me,include_now,49,50,48,75,75,1.0,0,56,0,74,36,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Paul mobile Mercedes mechanic,related_searches,paul mobile mercedes mechanic,review_high_priority,32,25,36,50,50,1.0,0,42,0,64,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mercedes diagnostics near me,Service and Repair,organic_title,service and repair,review_high_priority,16,0,24,0,0,0.7,0,0,0,78,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,van diagnostics near kent,related_searches,van diagnostics near kent,review_high_priority,32,25,36,75,75,1.0,0,56,0,52,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,van diagnostics near maidstone,related_searches,van diagnostics near maidstone,review_high_priority,32,25,36,75,75,1.0,0,56,0,52,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,van diagnostics near me,seed,van diagnostics near me,include_now,40,25,48,90,90,1.0,0,56,0,52,24,phrase,include,Good relevance and commercial intent; low risk.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,Van diagnostics near me prices,related_searches,van diagnostics near me prices,review_high_priority,40,25,48,90,90,1.0,26,56,0,74,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me,autocomplete,vehicle diagnostics near me,review_high_priority,32,25,36,65,65,1.0,0,42,0,64,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me open now,autocomplete,vehicle diagnostics near me open now,exclude_negative,32,25,36,65,65,1.0,35,42,0,96,36,negative,exclude_negative,Matched risk phrase: 'open now'.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me prices,autocomplete,vehicle diagnostics near me prices,review_high_priority,32,25,36,65,65,1.0,26,42,0,80,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle diagnostics near me within 5 mi,autocomplete,vehicle diagnostics near me within 5 mi,review_high_priority,32,25,36,65,65,1.0,0,42,0,100,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,van diagnostics near me,vehicle electrical diagnostics near me,autocomplete,vehicle electrical diagnostics near me,review_high_priority,32,25,36,65,65,1.0,0,42,0,80,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,what causes mercedes check engine light,autocomplete,what causes mercedes check engine light,review_high_priority,16,0,24,55,55,1.0,32,84,0,78,48,phrase,review,Elevated risk or weak fit; manual review suggested.
Diagnostics & VOR,Standard Diagnosis,mobile mercedes diagnostics,Why are Mercedes diagnostics so expensive?,paa,why are mercedes diagnostics so expensive,exclude_negative,23,0,36,60,30,0.5,67,56,0,84,44,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,24 hour mobile sprinter service,related_searches,24 hour mobile sprinter service,review_high_priority,32,25,36,75,75,1.0,0,56,0,74,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,dodge sprinter service near me,autocomplete,dodge sprinter service near me,review_high_priority,32,25,36,90,90,1.0,18,42,0,74,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,expert mercedes-benz servicing & repairs in kent,organic_title,expert mercedes-benz servicing repairs in kent,review_high_priority,32,25,36,20,14,0.7,0,42,0,96,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,freightliner sprinter service near me,autocomplete,freightliner sprinter service near me,review_high_priority,32,25,36,90,90,1.0,18,42,0,74,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,How much does it cost to service a Mercedes Sprinter?,autocomplete;paa,how much does it cost to service a mercedes sprinter,exclude_negative,23,0,36,75,75,1.0,93,56,0,100,24,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,sprinter service near me,How much is a Mercedes Sprinter service?,paa,how much is a mercedes sprinter service,exclude_negative,23,0,36,60,30,0.5,67,56,0,100,44,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,How much is a service on a Mercedes Sprinter?,paa,how much is a service on a mercedes sprinter,exclude_negative,23,0,36,75,38,0.5,67,56,0,100,24,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,How often should a Mercedes Sprinter van be serviced?,paa,how often should a mercedes sprinter van be serviced,exclude_negative,31,0,48,70,35,0.5,67,70,0,100,12,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Is it cheaper to use a mobile mechanic?,paa,is it cheaper to use a mobile mechanic,exclude_negative,24,25,24,25,12,0.5,100,14,0,100,60,negative,exclude_negative,High negative-risk score or policy/junk signals.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Is service A or B bigger on Mercedes?,paa,is service a or b bigger on mercedes,review_high_priority,16,0,24,35,18,0.5,0,42,0,100,56,phrase,review,PAA / related question; review or use as negative/FAQ only.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,London Mobile Van Mechanic for Mercedes Sprinter,organic_title,london mobile van mechanic for mercedes sprinter,include_now,56,50,60,70,49,0.7,0,70,0,94,24,exact,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Maidstone Mobile Mechanics & Garages,organic_title,maidstone mobile mechanics garages,review_high_priority,41,50,36,25,18,0.7,0,14,0,76,60,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes 24 hour breakdown number,related_searches,mercedes 24 hour breakdown number,review_high_priority,8,0,12,10,10,1.0,0,14,0,92,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes approved service near me,related_searches,mercedes approved service near me,review_high_priority,32,25,36,75,75,1.0,0,42,0,74,36,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes Ashford,organic_title,mercedes ashford,review_high_priority,8,0,12,10,7,0.7,0,14,0,44,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes benz Service Maidstone,related_searches,mercedes benz service maidstone,review_high_priority,24,25,24,35,35,1.0,0,42,0,64,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes Benz Sprinter Service,organic_title,mercedes benz sprinter service,review_high_priority,23,0,36,75,52,0.7,0,56,0,52,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes garage near me,related_searches,mercedes garage near me,review_high_priority,32,25,36,50,50,1.0,0,28,0,64,68,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes Roadside Assistance UK number,related_searches,mercedes roadside assistance uk number,review_high_priority,8,0,12,10,10,1.0,0,14,0,92,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,mercedes sprinter service,Mercedes service prices UK,related_searches,mercedes service prices uk,review_high_priority,16,0,24,50,50,1.0,26,42,0,64,36,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes Servicing,organic_title,mercedes servicing,review_high_priority,16,0,24,20,14,0.7,0,42,0,20,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes servicing Tonbridge,organic_title,mercedes servicing tonbridge,review_high_priority,24,25,24,20,14,0.7,0,42,0,48,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Mercedes Van Servicing,sprinter service near me,Mercedes specialist gravesend,related_searches,mercedes specialist gravesend,review_high_priority,24,25,24,10,10,1.0,0,14,0,66,48,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mobile sprinter service,mercedes sprinter mobile service,autocomplete,mercedes sprinter mobile service,include_now,40,25,48,85,85,1.0,0,84,0,40,24,phrase,include,Good relevance and commercial intent; low risk.
Mercedes Van Servicing,Mercedes Van Servicing,mobile sprinter service,Mercedes Sprinter repairs,related_searches,mercedes sprinter repairs,review_high_priority,23,0,36,35,35,1.0,0,42,0,48,56,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service,seed,mercedes sprinter service,review_high_priority,23,0,36,75,75,1.0,0,56,0,30,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service a,autocomplete,mercedes sprinter service a,review_high_priority,23,0,36,75,75,1.0,0,56,0,52,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes sprinter service a reset,related_searches,mercedes sprinter service a reset,review_high_priority,23,0,36,75,75,1.0,0,56,0,74,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service b,autocomplete,mercedes sprinter service b,review_high_priority,23,0,36,75,75,1.0,0,56,0,52,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes Sprinter service B cost,related_searches,mercedes sprinter service b cost,review_high_priority,23,0,36,75,75,1.0,26,56,0,74,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service b reset,autocomplete,mercedes sprinter service b reset,review_high_priority,23,0,36,75,75,1.0,0,56,0,74,24,phrase,review,Ambiguous relevance or commercial intent; review before adding.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes sprinter service cost,related_searches,mercedes sprinter service cost,review_high_priority,23,0,36,75,75,1.0,26,56,0,52,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes sprinter service cost uk,related_searches,mercedes sprinter service cost uk,review_high_priority,23,0,36,75,75,1.0,26,56,0,74,24,phrase,review,Elevated risk or weak fit; manual review suggested.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service intervals,autocomplete;related_searches,mercedes sprinter service intervals,exclude_negative,23,0,36,75,75,1.0,35,70,0,52,24,negative,exclude_negative,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,Mercedes Sprinter service intervals uk,related_searches,mercedes sprinter service intervals uk,exclude_negative,23,0,36,75,75,1.0,35,70,0,74,24,negative,exclude_negative,Matched risk phrase: 'service intervals'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service kit,autocomplete,mercedes sprinter service kit,exclude_negative,23,0,36,75,75,1.0,35,56,0,52,24,negative,exclude_negative,Matched risk phrase: 'service kit'.
Mercedes Van Servicing,Sprinter Servicing,mercedes sprinter service,mercedes sprinter service light reset,autocomplete,mercedes sprinter service light reset,exclude_negative,23,0,36,75,75,1.0,35,56,0,74,24,negative,exclude_negative,Matched risk phrase: 'light reset'.
