Change history report
"February 20, 2026 - March 26, 2026"
Date & time,User,Campaign,Ad group,Changes
"Mar 26, 2026, 9:20:16 AM",diagnosticstripoint@gmail.com,Search | Diagnostics & VOR | Kent + SE London,Limp Mode / Derate,"1 broad match keyword enabled
  vito limp mode: Status changed from paused to enabled"
"Mar 26, 2026, 8:05:47 AM",diagnosticstripoint@gmail.com,Search | Diagnostics & VOR | Kent + SE London,Limp Mode / Derate,"1 phrase match keyword removed
  ""limp mode van"""
"Mar 26, 2026, 8:05:47 AM",diagnosticstripoint@gmail.com,Search | Diagnostics & VOR | Kent + SE London,VOR / Urgent Van Diagnostics,"2 phrase match keywords removed
  ""vito wont start""
  ""sprinter wont start"""
"Mar 26, 2026, 8:05:47 AM",diagnosticstripoint@gmail.com,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"2 exact match keywords removed
  [van tuning]
  [van remap]"
"Mar 26, 2026, 8:05:47 AM",diagnosticstripoint@gmail.com,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,"1 broad match keyword removed
  mercedes van servicing"
"Mar 26, 2026, 8:04:29 AM",diagnosticstripoint@gmail.com,Search | Servicing & Brakes | Kent + SE London,,"Campaign asset created
  Status is Enabled
  Extension type is Call
  Item id is 334036299382"
"Mar 26, 2026, 8:04:22 AM",diagnosticstripoint@gmail.com,Search | Diagnostics & VOR | Kent + SE London,Pre-Purchase Van Check,"1 responsive search ad changed
  Headline is ""Compliance-first, no guesswork""
  Headline is ""TriPoint Diagnostics""
  Final URL is ""https://tripointdiagnostics.co.uk/services/pre-purchase-digital-health-check""
  Path 1 is ""used-van""
  Path 2 is ""health-check"""
"Mar 26, 2026, 8:04:22 AM",diagnosticstripoint@gmail.com,Search | Tuning | Commercial Vans | Kent + SE London,Van Economy Tune,"1 responsive search ad changed
  Headline is ""Compliance-first, no guesswork""
  Headline is ""TriPoint Diagnostics""
  Final URL is ""https://tripointdiagnostics.co.uk/services/van-economy-tune""
  Path 1 is ""economy""
  Path 2 is ""van-tune"""
"Mar 26, 2026, 8:04:22 AM",diagnosticstripoint@gmail.com,Search | Tuning | Commercial Vans | Kent + SE London,Van Load & Driveability Tune,"1 responsive search ad changed
  Headline is ""TriPoint Diagnostics""
  Headline is ""Compliance-first, no guesswork""
  Headline is ""Load & Driveability Tune""
  Final URL is ""https://tripointdiagnostics.co.uk/services/van-load-driveability-tune""
  Path 1 is ""load-tune""
  Path 2 is ""driveability"""
"Mar 26, 2026, 8:04:22 AM",diagnosticstripoint@gmail.com,Search | Servicing & Brakes | Kent + SE London,Mercedes Van Servicing & Brakes,"1 responsive search ad changed
  Headline is ""Compliance-first, no guesswork""
  Headline is ""TriPoint Diagnostics""
  Final URL is ""https://tripointdiagnostics.co.uk/services/mercedes-van-servicing""
  Path 1 is ""servicing""
  Path 2 is ""van-service"""
